V1,V2,V3,V4,V5
1,1.0107,1.1608,1.0858,1.0204,0.80598
2,1.0229,1.1671,1.0693,1.0012,0.76983
3,1.045,1.161,1.0567,0.97249,0.74101
4,1.0757,1.146,1.0474,0.93495,0.72052
5,1.1101,1.1263,1.0401,0.89187,0.70847
6,1.1407,1.1053,1.0322,0.8476,0.70411
7,1.1608,1.0858,1.0204,0.80598,0.70598
8,1.1671,1.0693,1.0012,0.76983,0.71233
9,1.161,1.0567,0.97249,0.74101,0.72153
10,1.146,1.0474,0.93495,0.72052,0.73263
11,1.1263,1.0401,0.89187,0.70847,0.74569
12,1.1053,1.0322,0.8476,0.70411,0.76206
13,1.0858,1.0204,0.80598,0.70598,0.78426
14,1.0693,1.0012,0.76983,0.71233,0.815
15,1.0567,0.97249,0.74101,0.72153,0.85525
16,1.0474,0.93495,0.72052,0.73263,0.90261
17,1.0401,0.89187,0.70847,0.74569,0.95212
18,1.0322,0.8476,0.70411,0.76206,0.99901
19,1.0204,0.80598,0.70598,0.78426,1.0405
20,1.0012,0.76983,0.71233,0.815,1.0758
21,0.97249,0.74101,0.72153,0.85525,1.1056
22,0.93495,0.72052,0.73263,0.90261,1.131
23,0.89187,0.70847,0.74569,0.95212,1.1535
24,0.8476,0.70411,0.76206,0.99901,1.1741
25,0.80598,0.70598,0.78426,1.0405,1.1935
26,0.76983,0.71233,0.815,1.0758,1.2122
27,0.74101,0.72153,0.85525,1.1056,1.2304
28,0.72052,0.73263,0.90261,1.131,1.248
29,0.70847,0.74569,0.95212,1.1535,1.2653
30,0.70411,0.76206,0.99901,1.1741,1.2821
31,0.70598,0.78426,1.0405,1.1935,1.2974
32,0.71233,0.815,1.0758,1.2122,1.3086
33,0.72153,0.85525,1.1056,1.2304,1.3105
34,0.73263,0.90261,1.131,1.248,1.2981
35,0.74569,0.95212,1.1535,1.2653,1.2701
36,0.76206,0.99901,1.1741,1.2821,1.2289
37,0.78426,1.0405,1.1935,1.2974,1.1785
38,0.815,1.0758,1.2122,1.3086,1.1228
39,0.85525,1.1056,1.2304,1.3105,1.0646
40,0.90261,1.131,1.248,1.2981,1.0057
41,0.95212,1.1535,1.2653,1.2701,0.94742
42,0.99901,1.1741,1.2821,1.2289,0.89034
43,1.0405,1.1935,1.2974,1.1785,0.835
44,1.0758,1.2122,1.3086,1.1228,0.78171
45,1.1056,1.2304,1.3105,1.0646,0.73068
46,1.131,1.248,1.2981,1.0057,0.68205
47,1.1535,1.2653,1.2701,0.94742,0.63592
48,1.1741,1.2821,1.2289,0.89034,0.59241
49,1.1935,1.2974,1.1785,0.835,0.55188
50,1.2122,1.3086,1.1228,0.78171,0.51501
51,1.2304,1.3105,1.0646,0.73068,0.48293
52,1.248,1.2981,1.0057,0.68205,0.45724
53,1.2653,1.2701,0.94742,0.63592,0.44014
54,1.2821,1.2289,0.89034,0.59241,0.43462
55,1.2974,1.1785,0.835,0.55188,0.44433
56,1.3086,1.1228,0.78171,0.51501,0.47264
57,1.3105,1.0646,0.73068,0.48293,0.52063
58,1.2981,1.0057,0.68205,0.45724,0.58502
59,1.2701,0.94742,0.63592,0.44014,0.65841
60,1.2289,0.89034,0.59241,0.43462,0.73219
61,1.1785,0.835,0.55188,0.44433,0.79961
62,1.1228,0.78171,0.51501,0.47264,0.85681
63,1.0646,0.73068,0.48293,0.52063,0.90231
64,1.0057,0.68205,0.45724,0.58502,0.93618
65,0.94742,0.63592,0.44014,0.65841,0.95925
66,0.89034,0.59241,0.43462,0.73219,0.97272
67,0.835,0.55188,0.44433,0.79961,0.97805
68,0.78171,0.51501,0.47264,0.85681,0.97683
69,0.73068,0.48293,0.52063,0.90231,0.97086
70,0.68205,0.45724,0.58502,0.93618,0.96222
71,0.63592,0.44014,0.65841,0.95925,0.95335
72,0.59241,0.43462,0.73219,0.97272,0.94717
73,0.55188,0.44433,0.79961,0.97805,0.94694
74,0.51501,0.47264,0.85681,0.97683,0.95577
75,0.48293,0.52063,0.90231,0.97086,0.97564
76,0.45724,0.58502,0.93618,0.96222,1.0062
77,0.44014,0.65841,0.95925,0.95335,1.0439
78,0.43462,0.73219,0.97272,0.94717,1.0821
79,0.44433,0.79961,0.97805,0.94694,1.1135
80,0.47264,0.85681,0.97683,0.95577,1.134
81,0.52063,0.90231,0.97086,0.97564,1.1436
82,0.58502,0.93618,0.96222,1.0062,1.1447
83,0.65841,0.95925,0.95335,1.0439,1.1411
84,0.73219,0.97272,0.94717,1.0821,1.1359
85,0.79961,0.97805,0.94694,1.1135,1.1316
86,0.85681,0.97683,0.95577,1.134,1.1298
87,0.90231,0.97086,0.97564,1.1436,1.1313
88,0.93618,0.96222,1.0062,1.1447,1.1356
89,0.95925,0.95335,1.0439,1.1411,1.1416
90,0.97272,0.94717,1.0821,1.1359,1.147
91,0.97805,0.94694,1.1135,1.1316,1.1491
92,0.97683,0.95577,1.134,1.1298,1.144
93,0.97086,0.97564,1.1436,1.1313,1.1279
94,0.96222,1.0062,1.1447,1.1356,1.0989
95,0.95335,1.0439,1.1411,1.1416,1.0586
96,0.94717,1.0821,1.1359,1.147,1.0118
97,0.94694,1.1135,1.1316,1.1491,0.96331
98,0.95577,1.134,1.1298,1.144,0.91675
99,0.97564,1.1436,1.1313,1.1279,0.8743
100,1.0062,1.1447,1.1356,1.0989,0.8369
101,1.0439,1.1411,1.1416,1.0586,0.80451
102,1.0821,1.1359,1.147,1.0118,0.77644
103,1.1135,1.1316,1.1491,0.96331,0.75153
104,1.134,1.1298,1.144,0.91675,0.72858
